detector_id,completeness
TEU00002_Det0,100.0
TEU00002_Det1,100.0
TEU00002_Det2,100.0
TEU00002_Det3,100.0
TEU00004_Det0,100.0
TEU00004_Det1,100.0
TEU00005_Det0,100.0
TEU00005_Det1,100.0
TEU00006_Det0,100.0
TEU00006_Det1,100.0
TEU00009_Det0,100.0
TEU00009_Det1,100.0
TEU00010_Det0,100.0
TEU00011_Det0,100.0
TEU00011_Det1,100.0
TEU00012_Det0,100.0
TEU00012_Det1,100.0
TEU00013_Det0,100.0
TEU00013_Det1,100.0
TEU00014_Det0,100.0
TEU00014_Det1,100.0
TEU00015_Det0,100.0
TEU00015_Det1,100.0
TEU00015_Det2,100.0
TEU00017_Det0,100.0
TEU00017_Det1,100.0
TEU00018_Det0,100.0
TEU00018_Det1,100.0
TEU00018_Det2,100.0
TEU00018_Det3,100.0
TEU00021_Det0,100.0
TEU00021_Det1,100.0
TEU00022_Det0,100.0
TEU00022_Det1,92.0
TEU00023_Det0,100.0
TEU00023_Det1,100.0
TEU00023_Det2,100.0
TEU00026_Det0,100.0
TEU00026_Det1,100.0
TEU00026_Det2,100.0
TEU00038_Det0,100.0
TEU00038_Det1,100.0
TEU00039_Det0,100.0
TEU00039_Det1,100.0
TEU00040_Det0,100.0
TEU00040_Det1,100.0
TEU00041_Det0,100.0
TEU00041_Det1,100.0
TEU00042_Det0,100.0
TEU00045_Det0,100.0
TEU00045_Det1,100.0
TEU00047_Det0,100.0
TEU00047_Det1,100.0
TEU00049_Det0,100.0
TEU00049_Det1,100.0
TEU00049_Det2,100.0
TEU00049_Det3,100.0
TEU00049_Det4,100.0
TEU00049_Det5,100.0
TEU00053_Det0,100.0
TEU00053_Det1,100.0
TEU00056_Det0,100.0
TEU00056_Det1,100.0
TEU00057_Det0,8.0
TEU00057_Det1,8.0
TEU00060_Det0,100.0
TEU00060_Det1,100.0
TEU00061_Det0,100.0
TEU00061_Det1,100.0
TEU00061_Det2,100.0
TEU00062_Det1,100.0
TEU00062_Det2,100.0
TEU00063_Det0,100.0
TEU00063_Det1,100.0
TEU00064_Det0,100.0
TEU00064_Det1,100.0
TEU00065_Det0,100.0
TEU00065_Det1,100.0
TEU00070_Det1,100.0
TEU00070_Det2,100.0
TEU00070_Det4,100.0
TEU00070_Det5,100.0
TEU00072_Det0,100.0
TEU00072_Det1,100.0
TEU00072_Det2,92.0
TEU00073_Det0,100.0
TEU00073_Det1,100.0
TEU00073_Det2,100.0
TEU00075_Det0,8.0
TEU00075_Det1,8.0
TEU00075_Det2,8.0
TEU00077_Det0,8.0
TEU00077_Det1,8.0
TEU00077_Det2,8.0
TEU00080_Det0,100.0
TEU00080_Det1,100.0
TEU00104_Det0,100.0
TEU00104_Det1,100.0
TEU00104_Det2,100.0
TEU00105_Det0,100.0
TEU00105_Det1,100.0
TEU00106_Det0,100.0
TEU00106_Det1,100.0
TEU00106_Det2,100.0
TEU00106_Det3,92.0
TEU00106_Det4,100.0
TEU00106_Det5,100.0
TEU00107_Det0,100.0
TEU00107_Det1,100.0
TEU00108_Det0,100.0
TEU00108_Det1,100.0
TEU00112_Det0,100.0
TEU00112_Det1,100.0
TEU00114_Det0,100.0
TEU00114_Det1,100.0
TEU00115_Det0,100.0
TEU00115_Det1,100.0
TEU00118_Det0,100.0
TEU00118_Det1,100.0
TEU00118_Det2,100.0
TEU00119_Det0,100.0
TEU00119_Det1,100.0
TEU00122_Det0,100.0
TEU00122_Det1,100.0
TEU00125_Det0,100.0
TEU00125_Det1,100.0
TEU00127_Det1,100.0
TEU00129_Det0,100.0
TEU00129_Det1,100.0
TEU00130_Det0,100.0
TEU00130_Det1,100.0
TEU00131_Det0,100.0
TEU00131_Det1,100.0
TEU00133_Det0,100.0
TEU00133_Det1,100.0
TEU00134_Det0,100.0
TEU00134_Det1,100.0
TEU00135_Det0,100.0
TEU00135_Det1,100.0
TEU00136_Det0,100.0
TEU00136_Det1,100.0
TEU00136_Det2,100.0
TEU00136_Det3,100.0
TEU00138_Det0,100.0
TEU00138_Det1,100.0
TEU00139_Det0,100.0
TEU00139_Det1,100.0
TEU00140_Det0,100.0
TEU00140_Det1,100.0
TEU00141_Det0,100.0
TEU00141_Det1,100.0
TEU00142_Det0,100.0
TEU00142_Det1,100.0
TEU00142_Det2,100.0
TEU00143_Det0,100.0
TEU00143_Det1,100.0
TEU00144_Det0,100.0
TEU00144_Det1,100.0
TEU00144_Det2,100.0
TEU00144_Det3,100.0
TEU00144_Det4,100.0
TEU00144_Det5,100.0
TEU00150_Det0,33.0
TEU00150_Det1,100.0
TEU00151_Det0,100.0
TEU00151_Det1,100.0
TEU00151_Det2,100.0
TEU00152_Det0,100.0
TEU00152_Det1,100.0
TEU00152_Det2,100.0
TEU00158_Det1,100.0
TEU00158_Det2,100.0
TEU00160_Det0,100.0
TEU00160_Det1,100.0
TEU00161_Det1,100.0
TEU00161_Det2,29.0
TEU00162_Det0,100.0
TEU00162_Det1,100.0
TEU00165_Det0,8.0
TEU00165_Det1,8.0
TEU00168_Det0,100.0
TEU00168_Det1,33.0
TEU00169_Det0,100.0
TEU00169_Det1,100.0
TEU00174_Det0,92.0
TEU00174_Det1,100.0
TEU00175_Det0,100.0
TEU00175_Det1,100.0
TEU00178_Det0,100.0
TEU00178_Det1,100.0
TEU00178_Det2,100.0
TEU00178_Det3,100.0
TEU00180_Det0,100.0
TEU00180_Det1,100.0
TEU00181_Det0,75.0
TEU00181_Det1,92.0
TEU00182_Det0,8.0
TEU00182_Det1,8.0
TEU00182_Det2,8.0
TEU00182_Det3,8.0
TEU00184_Det0,100.0
TEU00184_Det1,100.0
TEU00184_Det2,100.0
TEU00184_Det3,100.0
TEU00184_Det4,100.0
TEU00184_Det5,100.0
TEU00189_Det0,100.0
TEU00189_Det1,100.0
TEU00191_Det0,50.0
TEU00191_Det1,50.0
TEU00192_Det0,100.0
TEU00192_Det1,100.0
TEU00196_Det0,100.0
TEU00196_Det1,100.0
TEU00197_Det0,92.0
TEU00197_Det1,100.0
TEU00201_Det0,100.0
TEU00201_Det1,100.0
TEU00202_Det0,100.0
TEU00202_Det1,100.0
TEU00202_Det2,100.0
TEU00206_Det0,100.0
TEU00206_Det1,92.0
TEU00208_Det0,100.0
TEU00208_Det1,100.0
TEU00209_Det0,100.0
TEU00209_Det1,100.0
TEU00211_Det0,100.0
TEU00211_Det1,100.0
TEU00213_Det1,100.0
TEU00213_Det2,100.0
TEU00228_Det0,92.0
TEU00228_Det1,92.0
TEU00244_Det0,66.5
TEU00244_Det1,50.0
TEU00244_Det2,66.5
TEU00245_Det0,100.0
TEU00245_Det1,100.0
TEU00245_Det2,100.0
TEU00248_Det0,100.0
TEU00248_Det1,100.0
TEU00248_Det2,100.0
TEU00249_Det0,100.0
TEU00249_Det1,100.0
TEU00249_Det2,100.0
TEU00256_Det0,8.0
TEU00256_Det1,8.0
TEU00256_Det2,8.0
TEU00257_Det0,100.0
TEU00257_Det1,100.0
TEU00260_Det0,100.0
TEU00260_Det1,100.0
TEU00260_Det2,100.0
TEU00260_Det3,100.0
TEU00262_Det0,100.0
TEU00262_Det1,100.0
TEU00264_Det0,100.0
TEU00264_Det1,100.0
TEU00264_Det2,100.0
TEU00264_Det3,100.0
TEU00268_Det0,100.0
TEU00268_Det1,100.0
TEU00272_Det0,100.0
TEU00272_Det1,100.0
TEU00273_Det0,100.0
TEU00273_Det1,100.0
TEU00274_Det0,100.0
TEU00274_Det1,100.0
TEU00274_Det2,100.0
TEU00274_Det3,100.0
TEU00278_Det0,100.0
TEU00278_Det1,100.0
TEU00278_Det2,100.0
TEU00278_Det3,100.0
TEU00299_Det0,100.0
TEU00299_Det1,100.0
TEU00300_Det0,100.0
TEU00300_Det1,100.0
TEU00301_Det0,100.0
TEU00301_Det1,100.0
TEU00302_Det1,100.0
TEU00302_Det2,100.0
TEU00303_Det1,100.0
TEU00303_Det2,100.0
TEU00305_Det0,100.0
TEU00305_Det1,100.0
TEU00306_Det0,100.0
TEU00307_Det0,100.0
TEU00307_Det1,100.0
TEU00308_Det0,100.0
TEU00308_Det1,100.0
TEU00308_Det2,100.0
TEU00309_Det0,100.0
TEU00309_Det1,100.0
TEU00309_Det2,100.0
TEU00312_Det0,83.0
TEU00312_Det1,83.0
TEU00314_Det0,100.0
TEU00314_Det1,100.0
TEU00320_Det0,100.0
TEU00320_Det1,100.0
TEU00322_Det1,100.0
TEU00323_Det1,100.0
TEU00324_Det0,100.0
TEU00325_Det0,100.0
TEU00329_Det1,92.0
TEU00330_Det0,100.0
TEU00330_Det1,100.0
TEU00332_Det0,100.0
TEU00332_Det1,100.0
TEU00333_Det0,100.0
TEU00333_Det1,100.0
TEU00334_Det0,100.0
TEU00334_Det1,100.0
TEU00334_Det2,100.0
TEU00335_Det1,100.0
TEU00335_Det2,100.0
TEU00338_Det0,100.0
TEU00338_Det1,100.0
TEU00338_Det2,100.0
TEU00339_Det0,100.0
TEU00339_Det1,100.0
TEU00340_Det0,100.0
TEU00340_Det1,100.0
TEU00342_Det0,100.0
TEU00342_Det1,100.0
TEU00345_Det0,58.0
TEU00346_Det0,42.0
TEU00347_Det0,100.0
TEU00347_Det1,100.0
TEU00348_Det0,100.0
TEU00349_Det0,100.0
TEU00349_Det1,100.0
TEU00349_Det2,100.0
TEU00351_Det0,100.0
TEU00351_Det1,100.0
TEU00351_Det2,100.0
TEU00351_Det3,100.0
TEU00352_Det0,100.0
TEU00352_Det1,100.0
TEU00353_Det0,100.0
TEU00353_Det1,100.0
TEU00354_Det0,100.0
TEU00354_Det1,100.0
TEU00355_Det0,100.0
TEU00365_Det0,75.0
TEU00366_Det0,100.0
TEU00367_Det0,100.0
TEU00367_Det1,100.0
TEU00367_Det2,100.0
TEU00368_Det0,100.0
TEU00368_Det1,100.0
TEU00368_Det2,100.0
TEU00369_Det0,100.0
TEU00369_Det1,100.0
TEU00370_Det0,100.0
TEU00370_Det1,100.0
TEU00379_Det0,100.0
TEU00380_Det0,100.0
TEU00384_Det0,92.0
TEU00385_Det0,100.0
TEU00386_Det0,100.0
TEU00386_Det1,100.0
TEU00387_Det0,100.0
TEU00387_Det1,100.0
TEU00388_Det0,100.0
TEU00388_Det1,100.0
TEU00391_Det0,100.0
TEU00391_Det1,100.0
TEU00391_Det2,100.0
TEU00392_Det0,100.0
TEU00392_Det1,100.0
TEU00393_Det1,100.0
TEU00393_Det2,100.0
TEU00394_Det0,100.0
TEU00394_Det1,100.0
TEU00394_Det2,100.0
TEU00395_Det0,100.0
TEU00395_Det1,100.0
TEU00397_Det0,100.0
TEU00397_Det1,100.0
TEU00398_Det0,100.0
TEU00410_Det0,100.0
TEU00410_Det1,100.0
TEU00414_Det0,100.0
TEU00414_Det1,100.0
TEU00415_Det1,100.0
TEU00415_Det2,100.0
TEU00424_Det0,100.0
TEU00424_Det1,100.0
TEU00425_Det0,100.0
TEU00425_Det1,100.0
TEU00425_Det2,100.0
TEU00431_Det0,100.0
TEU00431_Det1,100.0
TEU00435_Det1,100.0
TEU00436_Det0,100.0
TEU00436_Det1,100.0
TEU00437_Det0,100.0
TEU00439_Det1,100.0
TEU00440_Det1,100.0
TEU00452_Det0,100.0
TEU00452_Det1,100.0
TEU00452_Det2,100.0
TEU00452_Det3,100.0
TEU00463_Det0,100.0
TEU00463_Det1,100.0
TEU00469_Det0,100.0
TEU00469_Det1,92.0
TEU00469_Det2,83.0
TEU00471_Det0,100.0
TEU00471_Det1,100.0
TEU00471_Det2,100.0
TEU00475_Det0,100.0
TEU00475_Det1,100.0
TEU00476_Det0,100.0
TEU00476_Det1,100.0
TEU00477_Det0,100.0
TEU00477_Det1,100.0
TEU00477_Det2,100.0
TEU00478_Det1,100.0
TEU00478_Det2,100.0
TEU00484_Det0,100.0
TEU00484_Det1,100.0
TEU00484_Det2,100.0
TEU00490_Det0,100.0
TEU00490_Det1,100.0
TEU00493_Det2,100.0
TEU00502_Det0,100.0
TEU00502_Det1,100.0
TEU00507_Det0,100.0
TEU00507_Det1,100.0
TEU00507_Det2,100.0
TEU00508_Det0,58.0
TEU00508_Det1,100.0
TEU00508_Det2,58.0
TEU00509_Det0,100.0
TEU00509_Det1,100.0
TEU00510_Det0,100.0
TEU00510_Det1,100.0
TEU00511_Det0,100.0
TEU00519_Det1,100.0
TEU00520_Det1,100.0
TEU00521_Det0,100.0
TEU00521_Det1,100.0
TEU00522_Det0,100.0
TEU00522_Det1,100.0
TEU00522_Det2,100.0
TEU00523_Det0,100.0
TEU00523_Det1,100.0
TEU00523_Det2,100.0
TEU00524_Det0,100.0
TEU00524_Det1,100.0
TEU00527_Det0,100.0
TEU00527_Det1,100.0
TEU00527_Det2,100.0
TEU00530_Det0,100.0
TEU00530_Det1,100.0
TEU00530_Det2,100.0
TEU00532_Det1,100.0
TEU00532_Det2,100.0
TEU00533_Det0,100.0
TEU00533_Det1,100.0
TEU00538_Det0,100.0
TEU00539_Det0,100.0
TEU00539_Det1,100.0
teuscalaS00000DD00349D1,83.0
teuscalaS00000DD00350D1,92.0
teuscalaS00000DD00350D2,92.0
teuscalaS00000DD00350D3,92.0
teuscalaS00000DD00350D4,92.0
teuscalaS00000DD00351D1,92.0
teuscalaS00000DD00352D1,8.0
teuscalaS00000DD00354D1,83.0
teuscalaS00000DD00355D0,100.0
teuscalaS00000DD00355D1,100.0
teuscalaS00000DD00356D0,100.0
teuscalaS00000DD00357D0,100.0
teuscalaS00000DD00357D1,100.0
teuscalaS00000DD00358D1,92.0
teuscalaS00000DD00358D2,25.0
teuscalaS00000DD00359D1,92.0
teuscalaS00000DD00359D2,25.0
teuscalaS00000DD00360D1,75.0
teuscalaS00000DD00361D0,100.0
